,Cities,Countries
239,Markaz-e Ḩukūmat-e Darwēshān,Afganistan
240,Darqad,Afganistan
241,Darāyim,Afganistan
242,Dāngām,Afganistan
243,Ḏanḏar,Afganistan
244,Ḩukūmatī Dahanah-ye Ghōrī,Afganistan
245,Tsowkêy,Afganistan
246,Chīras,Afganistan
247,Chisht-e Sharīf,Afganistan
248,Chinār,Afganistan
249,Chimtāl,Afganistan
250,Charkh,Afganistan
251,Charikar,Afganistan
252,Dowr-e Rabāţ,Afganistan
253,Tsapêraī,Afganistan
254,Tsamkanī,Afganistan
255,Chakaray,Afganistan
256,Chākarān,Afganistan
257,Chahār Qal‘ah,Afganistan
258,Chahār Burj,Afganistan
259,Chāh Āb,Afganistan
260,Fayrōz Kōh,Afganistan
261,Bulōlah,Afganistan
262,Bal Chirāgh,Afganistan
263,Bāzār-e Tālah,Afganistan
264,Bāsawul,Afganistan
265,Būrkah,Afganistan
266,Barg-e Matāl,Afganistan
267,Baraki Barak,Afganistan
268,Banū,Afganistan
269,Bāmyān,Afganistan
270,Balkh,Afganistan
271,Bahārak,Afganistan
272,Bagrāmī,Afganistan
273,Baghlān,Afganistan
274,Ḩukūmatī Azrah,Afganistan
275,Ārt Khwājah,Afganistan
276,‘Alāqahdārī Aṯghar,Afganistan
277,Āsmār,Afganistan
278,Ashkāsham,Afganistan
279,Asadābād,Afganistan
280,Āqchah,Afganistan
281,Andkhōy,Afganistan
282,’Unābah,Afganistan
283,Anār Darah,Afganistan
284,Amānzī,Afganistan
285,‘Alāqahdārī-ye Almār,Afganistan
286,‘Alī Shēr ‘Alāqahdārī,Afganistan
287,Wuluswālī ‘Alīngār,Afganistan
288,‘Alī Khēl,Afganistan
289,‘Alāqahdārī Yōsuf Khēl,Afganistan
290,‘Alāqahdārī Dīshū,Afganistan
291,Alah Sāy,Afganistan
292,Pachīr wa Āgām,Afganistan
293,Afaki,Afganistan
294,Adraskan,Afganistan
295,Āb-e Kamarī,Afganistan
296,Khadīr,Afganistan
297,Ghulām ‘Alī,Afganistan
298,Qarah Bāgh Bāzār,Afganistan
299,Zargarān,Afganistan
300,Surkh Bilandī,Afganistan
301,Pul-e Sangī,Afganistan
302,Langar,Afganistan
303,Bāgh-e Maīdān,Afganistan
304,Ibrāhīm Khān,Afganistan
305,Qaranghū Tōghaī,Afganistan
306,Bāzārak,Afganistan
307,Shērwānī-ye Bālā,Afganistan
308,Kirāmān,Afganistan
309,‘Alāqahdārī Saṟōbī,Afganistan
310,Zerok-Alakadari,Afganistan
311,Kushkak,Afganistan
312,Khayr Kōṯ,Afganistan
313,Chowṉêy,Afganistan
314,Wuṯahpūr,Afganistan
315,Karbori,Afganistan
316,Sulţānpūr-e ‘Ulyā,Afganistan
317,Babasakhib,Afganistan
318,Chandal Bā’ī,Afganistan
319,Dahan-e Jarf,Afganistan
320,Maydanshakhr,Afganistan
321,Dū Laīnah,Afganistan
322,Qaram Qōl,Afganistan
323,Pul-e Ḩişār,Afganistan
324,Lab-Sar,Afganistan
325,Ţāqchah Khānah,Afganistan
326,March,Afganistan
327,Zīrakī,Afganistan
328,Aliabad,Afganistan
329,Pas Pul,Afganistan
330,Qal‘ah-ye Na‘īm,Afganistan
331,Markaz-e Woluswalī-ye Āchīn,Afganistan
332,Manogay,Afganistan
333,Stêr Giyān,Afganistan
334,Sharan,Afganistan
335,Salām Khēl,Afganistan
336,Saint John’s,Antigua och Barbuda
337,Potters Village,Antigua och Barbuda
338,Piggotts,Antigua och Barbuda
339,Parham,Antigua och Barbuda
340,Liberta,Antigua och Barbuda
341,Falmouth,Antigua och Barbuda
342,Codrington,Antigua och Barbuda
343,Bolands,Antigua och Barbuda
344,All Saints,Antigua och Barbuda
345,West End Village,Anguilla
346,The Valley,Anguilla
347,The Quarter,Anguilla
348,Farrington,Anguilla
349,Stoney Ground,Anguilla
350,South Hill Village,Anguilla
351,Sandy Ground Village,Anguilla
352,North Side,Anguilla
353,North Hill Village,Anguilla
354,Island Harbour,Anguilla
355,George Hill,Anguilla
356,East End Village,Anguilla
357,Blowing Point Village,Anguilla
358,Sandy Hill,Anguilla
359,Xarrë,Albanien
360,Sarandë,Albanien
361,Mesopotam,Albanien
362,Markat,Albanien
363,Livadhja,Albanien
364,Konispol,Albanien
365,Kakavijë,Albanien
366,Finiq,Albanien
367,Dhivër,Albanien
368,Delvinë,Albanien
369,Aliko,Albanien
370,Buçimas,Albanien
371,Zhepë,Albanien
372,Zerqan,Albanien
373,Zavalinë,Albanien
374,Zapod,Albanien
375,Zall-Reç,Albanien
376,Zall-Dardhë,Albanien
377,Xibër-Murrizë,Albanien
378,Vreshtas,Albanien
379,Voskopojë,Albanien
380,Voskop,Albanien
381,Vithkuq,Albanien
382,Vithkuq,Albanien
383,Vërtop,Albanien
384,Vergo,Albanien
385,Vendresha e Vogël,Albanien
386,Velçan,Albanien
387,Ujmisht,Albanien
388,Udënisht,Albanien
389,Tunjë,Albanien
390,Tregan,Albanien
391,Trebisht-Muçinë,Albanien
392,Trebinjë,Albanien
393,Topojan,Albanien
394,Tomin,Albanien
395,Tepelenë,Albanien
396,Surroj,Albanien
397,Sult,Albanien
398,Sukë,Albanien
399,Suç,Albanien
400,Stravaj,Albanien
401,Steblevë,Albanien
402,Sllovë,Albanien
403,Skore,Albanien
404,Skënderbegas,Albanien
405,Shushicë,Albanien
406,Shupenzë,Albanien
407,Shtiqën,Albanien
408,Shishtavec,Albanien
409,Shirgjan,Albanien
410,Shëngjin,Albanien
411,Shënmëri,Albanien
412,Selishtë,Albanien
413,Saraqinishtë,Albanien
414,Rukaj,Albanien
415,Rajcë,Albanien
416,Roshnik,Albanien
417,Qukës-Skënderbe,Albanien
418,Qestorat,Albanien
419,Qafëmal,Albanien
420,Përrenjas-Fshat,Albanien
421,Përrenjas,Albanien
422,Proptisht,Albanien
423,Progër,Albanien
424,Potom,Albanien
425,Poroçan,Albanien
426,Polis-Gostimë,Albanien
427,Poliçan,Albanien
428,Pojan,Albanien
429,Pogradec,Albanien
430,Pishaj,Albanien
431,Pirg,Albanien
432,Gjinkar,Albanien
433,Petran,Albanien
434,Peshkopi,Albanien
435,Përmet,Albanien
436,Ostreni i Math,Albanien
437,Orosh,Albanien
438,Orenjë,Albanien
439,Odrie,Albanien
440,Novoselë,Albanien
441,Picar,Albanien
442,Mollas,Albanien
443,Mollas,Albanien
444,Mollaj,Albanien
445,Miras,Albanien
446,Melan,Albanien
447,Mborje,Albanien
448,Martanesh,Albanien
449,Maqellarë,Albanien
450,Maliq,Albanien
451,Macukull,Albanien
452,Lunik,Albanien
453,Llugaj,Albanien
454,Lis,Albanien
455,Liqenas,Albanien
456,Librazhd,Albanien
457,Libonik,Albanien
458,Libohovë,Albanien
459,Leskovik,Albanien
460,Leshnjë,Albanien
461,Lenias,Albanien
462,Lekas,Albanien
463,Lazarat,Albanien
464,Labinot-Mal,Albanien
465,Labinot-Fushë,Albanien
466,Kushovë,Albanien
467,Kurbnesh,Albanien
468,Kukur,Albanien
469,Kukës,Albanien
470,Kthella e Epërme,Albanien
471,Krumë,Albanien
472,Korçë,Albanien
473,Kolsh,Albanien
474,Kodovjat,Albanien
475,Klos,Albanien
476,Klos,Albanien
477,Këlcyrë,Albanien
478,Kastriot,Albanien
479,Kardhiq,Albanien
480,Kalis,Albanien
481,Iballë,Albanien
482,Hotolisht,Albanien
483,Hoçisht,Albanien
484,Gramsh,Albanien
485,Gostimë,Albanien
486,Golaj,Albanien
487,Gjorica e Sipërme,Albanien
488,Gjirokastër,Albanien
489,Gjinar,Albanien
490,Gjinaj,Albanien
491,Gjergjan,Albanien
492,Gjegjan,Albanien
493,Fushë-Muhurr,Albanien
494,Fushë-Lurë,Albanien
495,Fushë-Çidhnë,Albanien
496,Fushë-Bulqizë,Albanien
497,Fushë-Arrëz,Albanien
498,Frashër,Albanien
499,Fierzë,Albanien
500,Fajzë,Albanien
501,Ersekë,Albanien
502,Elbasan,Albanien
503,Drenovë,Albanien
504,Dishnicë,Albanien
505,Derjan,Albanien
506,Gjerbës,Albanien
507,Çorovodë,Albanien
508,Çlirim,Albanien
509,Cerava,Albanien
510,Çepan,Albanien
511,Çarshovë,Albanien
512,Kokaj,Albanien
513,Buz,Albanien
514,Bushtricë,Albanien
515,Burrel,Albanien
516,Bulqizë,Albanien
517,Bujan,Albanien
518,Bradashesh,Albanien
519,Blinisht,Albanien
520,Blerim,Albanien
521,Bilisht,Albanien
522,Bicaj,Albanien
523,Dardhas,Albanien
524,Barmash,Albanien
525,Ballaban,Albanien
526,Arrën,Albanien
527,Arras,Albanien
528,Bytyç,Albanien
529,Librazhd-Qendër,Albanien
530,Funarë,Albanien
531,Moglicë,Albanien
532,Bogovë,Albanien
533,Piskovë,Albanien
534,Lukovë,Albanien
535,Ksamil,Albanien
536,Zharrëz,Albanien
537,Zejmen,Albanien
538,Zall-Herr,Albanien
539,Zall-Bastar,Albanien
540,Xhafzotaj,Albanien
541,Vukatanë,Albanien
542,Vranisht,Albanien
543,Vorë,Albanien
544,Vlorë,Albanien
545,Velipojë,Albanien
546,Velabisht,Albanien
547,Vaqarr,Albanien
548,Ura Vajgurore,Albanien
549,Ungrej,Albanien
550,Ulëz,Albanien
551,Topojë,Albanien
552,Tirana,Albanien
553,Thumanë,Albanien
554,Tërbuf,Albanien
555,Synej,Albanien
556,Sukth,Albanien
557,Strum,Albanien
558,Sinjë,Albanien
559,Sinaballaj,Albanien
560,Shkodër,Albanien
561,Shijak,Albanien
562,Shezë,Albanien
563,Shënkoll,Albanien
564,Shëngjin,Albanien
565,Shëngjergj,Albanien
566,Shalës,Albanien
567,Nicaj-Shalë,Albanien
568,Sevaster,Albanien
569,Selitë,Albanien
570,Valbonë,Albanien
571,Selenicë,Albanien
572,Ruzhdie,Albanien
573,Rubik,Albanien
574,Rrogozhinë,Albanien
575,Rrëshen,Albanien
576,Rrashbull,Albanien
577,Rrasa e Sipërme,Albanien
578,Rrapë,Albanien
579,Roskovec,Albanien
580,Remas,Albanien
581,Qerret,Albanien
582,Qelëz,Albanien
583,Pukë,Albanien
584,Progonat,Albanien
585,Prezë,Albanien
586,Poshnje,Albanien
587,Portëz,Albanien
588,Peza e Madhe,Albanien
589,Petrelë,Albanien
590,Përparim,Albanien
591,Perondi,Albanien
592,Peqin,Albanien
593,Patos Fshat,Albanien
594,Patos,Albanien
595,Paskuqan,Albanien
596,Papër,Albanien
597,Pajovë,Albanien
598,Otllak,Albanien
599,Orikum,Albanien
600,Novoselë,Albanien
601,Nikël,Albanien
602,Nicaj-Shosh,Albanien
603,Ngraçan,Albanien
604,Ndroq,Albanien
605,Milot,Albanien
606,Memaliaj,Albanien
607,Mbrostar-Urë,Albanien
608,Manzë,Albanien
609,Mamurras,Albanien
610,Maminas,Albanien
611,Luzi i Vogël,Albanien
612,Lushnjë,Albanien
613,Luftinjë,Albanien
614,Libofshë,Albanien
615,Lezhë,Albanien
616,Levan,Albanien
617,Lekbibaj,Albanien
618,Lekaj,Albanien
619,Laç,Albanien
620,Kutë,Albanien
621,Kutalli,Albanien
622,Kurjan,Albanien
623,Kuman,Albanien
624,Kuçovë,Albanien
625,Kuç,Albanien
626,Kryevidh,Albanien
627,Krutja e Poshtme,Albanien
628,Krujë,Albanien
629,Krrabë,Albanien
630,Krahës,Albanien
631,Kozarë,Albanien
632,Kotë,Albanien
633,Koplik,Albanien
634,Kombësi,Albanien
635,Kolonjë,Albanien
636,Kolç,Albanien
637,Kavajë,Albanien
638,Katundi i Ri,Albanien
639,Kastrat,Albanien
640,Kashar,Albanien
641,Karinë,Albanien
642,Karbunara e Vogël,Albanien
643,Kamëz,Albanien
644,Kallmeti i Madh,Albanien
645,Kallmet,Albanien
646,Kalenjë,Albanien
647,Kajan,Albanien
648,Kaçinar,Albanien
649,Ishëm,Albanien
650,Hysgjokaj,Albanien
651,Hot,Albanien
652,Himarë,Albanien
653,Helmas,Albanien
654,Hekal,Albanien
655,Hasan,Albanien
656,Hajmel,Albanien
657,Gurra e Vogël,Albanien
658,Guri i Zi,Albanien
659,Gruemirë,Albanien
660,Greshicë,Albanien
661,Grekan,Albanien
662,Gradishtë,Albanien
663,Gracen,Albanien
664,Grabjan,Albanien
665,Gosë e Madhe,Albanien
666,Golem,Albanien
667,Gjoçaj,Albanien
668,Gjepalaj,Albanien
669,Fushëkuqe,Albanien
670,Fushë-Krujë,Albanien
671,Fratar,Albanien
672,Frakulla e Madhe,Albanien
673,Fier-Shegan,Albanien
674,Fier-Çifçi,Albanien
675,Fier,Albanien
676,Farka e Madhe,Albanien
677,Durrës,Albanien
678,Drenovë,Albanien
679,Divjakë,Albanien
680,Dërmënas,Albanien
681,Vau i Dejës,Albanien
682,Dajt,Albanien
683,Dajç,Albanien
684,Dajç,Albanien
685,Cukalat,Albanien
686,Cudhi Zall,Albanien
687,Cërrik,Albanien
688,Cakran,Albanien
689,Bushat,Albanien
690,Bubullimë,Albanien
691,Bubq,Albanien
692,Brataj,Albanien
693,Bërzhitë,Albanien
694,Bërxull,Albanien
695,Bërdica e Madhe,Albanien
696,Berat,Albanien
697,Belsh,Albanien
698,Baz,Albanien
699,Banaj,Albanien
700,Ballsh,Albanien
701,Ballagat,Albanien
702,Baldushk,Albanien
703,Armen,Albanien
704,Aranitas,Albanien
705,Allkaj,Albanien
706,Golem,Albanien
707,Balldreni i Ri,Albanien
708,Grudë-Fushë,Albanien
709,Fierzë,Albanien
710,Dushk,Albanien
711,Selitë,Albanien
712,Vllahinë,Albanien
713,Bajram Curri,Albanien
714,Zarrit’ap’,Armenia
715,Zangakatun,Armenia
716,Goravan,Armenia
717,Yeghegnavan,Armenia
718,Yeghegnadzor,Armenia
719,Vostan,Armenia
720,Vosketap’,Armenia
721,Vernashen,Armenia
722,Verishen,Armenia
723,Vedi,Armenia
724,Vayk’,Armenia
725,Tegh,Armenia
726,Surenavan,Armenia
727,Sisavan,Armenia
728,Shinuhayr,Armenia
729,Lusarrat,Armenia
730,Shahumyan,Armenia
731,Shatin,Armenia
732,Shaghat,Armenia
733,Rrind,Armenia
734,Noyakert,Armenia
735,Mrgavan,Armenia
736,Meghri,Armenia
737,Malishka,Armenia
738,Khndzoresk,Armenia
739,Kapan,Armenia
740,Jermuk,Armenia
741,Goris,Armenia
742,Gladzor,Armenia
743,Getap’,Armenia
744,Dzorastan,Armenia
745,Dalar,Armenia
746,Burastan,Armenia
747,Akner,Armenia
748,Brrnakot’,Armenia
749,Berk’anush,Armenia
750,Aygezard,Armenia
751,Aygepat,Armenia
752,Aygavan,Armenia
753,Avshar,Armenia
754,Hats’avan,Armenia
755,Artashat,Armenia
756,Yeghegis,Armenia
757,Armash,Armenia
758,Areni,Armenia
759,Ararat,Armenia
760,Angeghakot’,Armenia
761,Aghavnadzor,Armenia
762,Agarakadzor,Armenia
763,Agarak,Armenia
764,Aralez,Armenia
765,Horrom,Armenia
766,Margara,Armenia
767,Zovuni,Armenia
768,Zovaber,Armenia
769,Zorak,Armenia
770,Zarr,Armenia
771,Yerevan,Armenia
772,Yerazgavors,Armenia
773,Yeraskhahun,Armenia
774,Yeranos,Armenia
775,Yeghegnut,Armenia
776,Yeghegnut,Armenia
777,Vagharshapat,Armenia
778,Yeghvard,Armenia
779,Voskevaz,Armenia
780,Voskevan,Armenia
781,Voskehask,Armenia
782,Verin Getashen,Armenia
783,Verin Dvin,Armenia
784,Verin Artashat,Armenia
785,Akht’ala,Armenia
786,Varser,Armenia
787,Vardenis,Armenia
788,Vardenik,Armenia
789,Vahan,Armenia
790,Vaghashen,Armenia
791,Vahagni,Armenia
792,Ushi,Armenia
793,Urrut,Armenia
794,Tsovinar,Armenia
795,Tsovazard,Armenia
796,Tsovak,Armenia
797,Tsovagyugh,Armenia
798,Tsaghkunk’,Armenia
799,Tsaghkahovit,Armenia
800,Tsaghkaber,Armenia
801,Tsaghkadzor,Armenia
802,Tsovasar,Armenia
803,Tashir,Armenia
804,Tandzut,Armenia
805,T’alin,Armenia
806,Step’anavan,Armenia
807,Spitak,Armenia
808,Spandaryan,Armenia
809,Alashkert,Armenia
810,Solak,Armenia
811,Sis,Armenia
812,Shnogh,Armenia
813,Shirak,Armenia
814,Shenavan,Armenia
815,Shenavan,Armenia
816,Sevan,Armenia
817,Sarukhan,Armenia
818,Sarigyugh,Armenia
819,Saratak,Armenia
820,Saramej,Armenia
821,Sarahart’,Armenia
822,Geghakert,Armenia
823,Ptghni,Armenia
824,Ptghunk’,Armenia
825,P’shatavan,Armenia
826,Prroshyan,Armenia
827,P’ok’r Mant’ash,Armenia
828,Zoravan,Armenia
829,Pemzashen,Armenia
830,Parravak’ar,Armenia
831,Oshakan,Armenia
832,Sardarapat,Armenia
833,Odzun,Armenia
834,Noyemberyan,Armenia
835,Nor Gyugh,Armenia
836,Nor Geghi,Armenia
837,Norashen,Armenia
838,Norashen,Armenia
839,Nor Armavir,Armenia
840,Noramarg,Armenia
841,Norakert,Armenia
842,Noratus,Armenia
843,Nerk’in Getashen,Armenia
844,Navur,Armenia
845,Nalbandyan,Armenia
846,Basen,Armenia
847,Hovtamej,Armenia
848,Mrgashen,Armenia
849,Mrgashat,Armenia
850,Mrganush,Armenia
851,Mosesgegh,Armenia
852,Mets Parni,Armenia
853,Mets Masrik,Armenia
854,Mets Mant’ash,Armenia
855,Metsavan,Armenia
856,Metsamor,Armenia
857,Merdzavan,Armenia
858,Meghrashen,Armenia
859,Meghradzor,Armenia
860,Mayakovski,Armenia
861,Masis,Armenia
862,Martuni,Armenia
863,Marmarashen,Armenia
864,Marmashen,Armenia
865,Margahovit,Armenia
866,Maralik,Armenia
867,Mayisyan,Armenia
868,Madina,Armenia
869,Lukashin,Armenia
870,Lorut,Armenia
871,Lichk’,Armenia
872,Lerrnavan,Armenia
873,Lerrnapat,Armenia
874,Lerrnants’k’,Armenia
875,Lerrnanist,Armenia
876,Lerrnakert,Armenia
877,Khoronk’,Armenia
878,Lchashen,Armenia
879,Lchap’,Armenia
880,Lanjaghbyur,Armenia
881,Kotayk’,Armenia
882,Kosh,Armenia
883,Vanadzor,Armenia
884,Hnaberd,Armenia
885,Khasht’arrak,Armenia
886,Kasakh,Armenia
887,Karchaghbyur,Armenia
888,Karbi,Armenia
889,Karanlukh,Armenia
890,Kaputan,Armenia
891,K’anak’erravan,Armenia
892,Kamo,Armenia
893,Gavarr,Armenia
894,Mayisyan,Armenia
895,Shahumyan,Armenia
896,Ijevan,Armenia
897,Hrazdan,Armenia
898,Armavir,Armenia
899,Hayanist,Armenia
900,Haghartsin,Armenia
901,Gyumri,Armenia
902,Gyulagarak,Armenia
903,Ghukasavan,Armenia
904,Geghamasar,Armenia
905,Gugark’,Armenia
906,Tsiatsan,Armenia
907,Goght’,Armenia
908,Gogaran,Armenia
909,Getazat,Armenia
910,Getashen,Armenia
911,Geghanist,Armenia
912,Geghamavan,Armenia
913,Garrni,Armenia
914,Gagarin,Armenia
915,Fantan,Armenia
916,Fioletovo,Armenia
917,Dzoraghbyur,Armenia
918,Dzoragyugh,Armenia
919,Dzit’hank’ov,Armenia
920,Jrashen,Armenia
921,Jrashen,Armenia
922,Jrahovit,Armenia
923,Janfida,Armenia
924,Dvin,Armenia
925,Dsegh,Armenia
926,Drakhtik,Armenia
927,Doghs,Armenia
928,Dilijan,Armenia
929,Ddmashen,Armenia
930,Darpas,Armenia
931,Dalarik,Armenia
932,Chochkan,Armenia
933,Chambarak,Armenia
934,Bjni,Armenia
935,Byureghavan,Armenia
936,Byurakan,Armenia
937,Buzhakan,Armenia
938,Berd,Armenia
939,Bazum,Armenia
940,Byuravan,Armenia
941,Bambakashat,Armenia
942,Balahovit,Armenia
943,Bagratashen,Armenia
944,Azatan,Armenia
945,Haykavan,Armenia
946,Aygestan,Armenia
