,Cities,Countries,Population
93,Selty,Ryssland,5523.0
94,Marquion,Frankrike,1035.0
95,Jonestown,USA,1214.0
96,Vĩnh Yên,Vietnam,17876.0
97,Saint-Rémy-en-Rollat,Frankrike,1483.0
98,Ónod,Ungern,2461.0
99,San Martín,El Salvador,39361.0
100,Terque,Spanien,447.0
101,San Vicente,Mexiko,14324.0
102,Qianyou,Kina,0.0
103,Rokitno Szlacheckie,Polen,1094.0
104,Cumba,Peru,0.0
105,Zionsville,USA,26296.0
106,Wiveliscombe,United Kingdom,2178.0
107,Geromina,Italien,2036.0
108,Plaisance,Haiti,4152.0
109,Damara,Central African Republic,20093.0
110,Inzhavino,Ryssland,10278.0
111,Omak,USA,4854.0
112,Novigrad Podravski,Kroatien,0.0
113,Holguera,Spanien,770.0
114,Ston,Kroatien,3000.0
115,Kampong Speu,Kambodja,33231.0
116,El Hamma,Tunisien,62000.0
117,Jirny,Czechia,1366.0
118,Thomaston,USA,1875.0
119,Bebedouro,Brasilien,71862.0
120,Sesto ed Uniti,Italien,2808.0
121,Großörner,Tyskland,2092.0
122,Faisalabad,Pakistan,2506595.0
123,Baitoa,Dominican Republic,2013.0
124,Vratsa,Bulgarien,64941.0
125,Saint-Geniès-de-Fontedit,Frankrike,1351.0
126,San Bovio-San Felice,Italien,3963.0
127,Harapan Jaya,Indonesien,0.0
128,Pando,Uruguay,24047.0
129,San Miguel Chicaj,Guatemala,13747.0
130,Ayuela,Spanien,65.0
131,Nshavan,Armenia,1916.0
132,Les Fins,Frankrike,2797.0
133,Pompeiana,Italien,775.0
134,Lonya Grande,Peru,0.0
135,Uruş,Turkiet,0.0
136,Mühl Rosin,Tyskland,1168.0
137,Fara Novarese,Italien,2105.0
138,Halitpaşa,Turkiet,0.0
139,Zapote de Peralta,Mexiko,1307.0
140,Sveti Jurij ob Ščavnici,Slovenien,204.0
141,Al Aḩad,Yemen,0.0
142,Querobabi,Mexiko,1988.0
143,Dinga,Pakistan,39784.0
144,Sappada,Italien,1359.0
145,Wenden,Tyskland,19924.0
146,Plouvien,Frankrike,3346.0
147,Horní Počaply,Czechia,1141.0
148,Salanda,Turkiet,0.0
149,Butere,Kenya,11205.0
150,Muroto,Japan,0.0
151,Orero,Italien,97.0
152,Camotlán de Miraflores,Mexiko,1778.0
153,Kropotkin,Ryssland,1765.0
154,Dakota Dunes,USA,2540.0
155,Dallenwil,Schweiz,1738.0
156,Ojacastro,Spanien,218.0
157,Odzun,Armenia,4524.0
158,Hochpoint,Austria,1545.0
159,Santee,USA,57787.0
160,Schirgiswalde,Tyskland,3009.0
161,South Brisbane,Australien,60000.0
162,Port Washington North,USA,3207.0
163,Muara Beliti,Indonesien,0.0
164,Coronon,Filippinerna,6854.0
165,Dzula,Mexiko,1223.0
166,Boca del Monte,Mexiko,4832.0
167,Kırıkhan,Turkiet,60916.0
168,Komaki,Japan,151025.0
169,Andorra,Spanien,7890.0
170,Fuchū,Japan,0.0
171,Berwang,Austria,353.0
172,Valea Măcrișului,Rumänien,1512.0
173,Luyego,Spanien,865.0
174,Staroye Drozhzhanoye,Ryssland,3338.0
175,Il’inskoye-Khovanskoye,Ryssland,3562.0
176,Abramów,Polen,713.0
177,Garko,Nigeria,21141.0
178,Knićanin,Serbien,2226.0
179,Bogata,Rumänien,1915.0
180,San Juan,Filippinerna,3514.0
181,Othis,Frankrike,7084.0
182,Manturovo,Ryssland,2755.0
183,Neukirchen,Tyskland,7517.0
184,Tagliuno,Italien,0.0
185,Markyate,United Kingdom,2912.0
186,San Antonio Villalongín,Mexiko,2621.0
187,Vallecillo,Spanien,145.0
188,Rancho Nuevo,Mexiko,2807.0
189,Frandovínez,Spanien,95.0
190,Neulußheim,Tyskland,6489.0
191,Lusong,Filippinerna,2207.0
192,Bubq,Albanien,0.0
193,Abbey Dore,United Kingdom,0.0
194,Veitshöchheim,Tyskland,10279.0
195,Paso Nacional,Mexiko,1185.0
196,Llançà,Spanien,5000.0
197,Palandöken,Turkiet,0.0
198,Atimonan,Filippinerna,29356.0
199,Kriukivschina,Ukraina,3509.0
200,Omemee,Kanada,1323.0
201,Santo Niño,Filippinerna,3054.0
202,Borutta,Italien,273.0
203,Ādilābād,Indien,118526.0
204,Oloron-Sainte-Marie,Frankrike,12611.0
205,Santiago Acozac,Mexiko,2775.0
206,Itapevi,Brasilien,201748.0
207,Meranges,Spanien,0.0
208,Ijevan,Armenia,14737.0
209,Grojec,Polen,2923.0
210,Sátão,Portugal,4034.0
211,Bhādra,Indien,37629.0
212,Wolbrom,Polen,9146.0
213,San Luis del Cordero,Mexiko,1584.0
214,Bircotes,United Kingdom,7948.0
215,Tutubigan,Filippinerna,2030.0
216,Pishcha,Ukraina,1162.0
217,Lhenice,Czechia,1771.0
218,Harnoli,Pakistan,15669.0
219,Mabinay,Filippinerna,5506.0
220,Ballina,Irland,2442.0
221,Gravedona-San Gregorio,Italien,3697.0
222,Hilsa,Indien,41110.0
223,Blaufelden,Tyskland,5348.0
224,Röthelstein,Austria,201.0
225,Ibiúna,Brasilien,22860.0
226,Nicolás Bravo,Mexiko,1674.0
227,Aguadulce,Spanien,1989.0
228,Jingdezhen,Kina,310565.0
229,Neustift im Stubaital,Austria,4747.0
230,Schuttrange,Luxemburg,841.0
231,Ratzersdorf an der Traisen,Austria,1645.0
232,Caldaro sulla Strada del Vino,Italien,6183.0
233,Wahai,Indonesien,0.0
234,Villarrica,Colombia,3081.0
235,Estaires,Frankrike,5979.0
236,Dubovka,Ryssland,8946.0
237,Askaniya-Nova,Ukraina,3309.0
238,Tete,Moçambique,129316.0
239,Genga,Italien,108.0
240,Bacoli,Italien,25590.0
241,Zürich (Kreis 9) / Altstetten,Schweiz,28307.0
242,Hillsboro,USA,5726.0
243,Kete Krachi,Ghana,11000.0
244,Obergurig,Tyskland,2361.0
245,Taishan,Kina,145440.0
246,Sankt Veit im Pongau,Austria,3788.0
247,Bocairent,Spanien,4496.0
248,Talavera La Real,Spanien,5204.0
249,Lübben,Tyskland,14713.0
250,Kormilovka,Ryssland,10166.0
251,White City,USA,5407.0
252,Kirksville,USA,17520.0
253,Namioka,Japan,20681.0
254,Mordino,Ryssland,1323.0
255,Magliano Sabina,Italien,2075.0
256,Bregenz,Austria,29471.0
257,Rubla,Rumänien,1219.0
258,Banaue,Filippinerna,2497.0
259,Puebloviejo,Colombia,13523.0
260,Spotorno,Italien,3841.0
261,Al Ḩamzah,Irak,0.0
262,Starocherkasskaya,Ryssland,5060.0
263,Saint-Polycarpe,Kanada,0.0
264,Bucșenești-Lotași,Rumänien,1077.0
265,Qvareli,Georgien,8612.0
266,San Gregorio,Mexiko,2087.0
267,Krzepice,Polen,4479.0
268,Tennessee Ridge,USA,1329.0
269,Goodhue,USA,1174.0
270,Calvert City,USA,2532.0
271,Domessin,Frankrike,1479.0
272,Greenhill,United Kingdom,9324.0
273,Chapelhall,United Kingdom,6560.0
274,Muschberg en Geestenberg,Nederländerna,3836.0
275,Wielbark,Polen,2943.0
276,Offingen,Tyskland,4099.0
277,Şadad,Syria,0.0
278,Santa Martha Hidalgo,Mexiko,1646.0
279,Yueyang,Kina,0.0
280,Berlangas de Roa,Spanien,219.0
281,Poggio Picenze,Italien,1036.0
282,Bhikangaon,Indien,15321.0
283,Yasynuvata,Ukraina,37600.0
284,Tarhuna,Libyen,210697.0
285,Tabango,Filippinerna,5806.0
286,Ust’yanka,Ryssland,1086.0
287,Pescia,Italien,11567.0
288,Huetamo de Núñez,Mexiko,21864.0
289,Tayshet,Ryssland,37766.0
290,Carregado,Portugal,10474.0
291,Arísvi,Grekland,1068.0
292,Waoundé,Senegal,9085.0
293,Arceto,Italien,4285.0
294,Edgewood,USA,2795.0
295,Limbdi,Indien,41740.0
296,Cotaxtla,Mexiko,1167.0
297,Wavignies,Frankrike,1019.0
298,Vilshofen,Tyskland,16695.0
299,Peña del Panal,Mexiko,1091.0
300,Dunayivtsi,Ukraina,0.0
301,San José el Vidrio,Mexiko,5204.0
302,Võhma,Estland,1551.0
303,Năm Căn,Vietnam,0.0
304,Posterholt,Nederländerna,3540.0
305,Lalevade-d’Ardèche,Frankrike,1156.0
306,Montgat,Spanien,10270.0
307,Pucheni,Rumänien,2201.0
308,Wrestedt,Tyskland,2996.0
309,Halifax,USA,1249.0
310,Launac,Frankrike,1163.0
311,Ensdorf,Tyskland,2275.0
312,Atempan,Mexiko,6457.0
313,Fareydūnshahr,Iran,11562.0
314,Lapoutroie,Frankrike,2221.0
315,Cakke,Indonesien,0.0
316,Lowville,USA,3416.0
317,Zhangjiachuan,Kina,0.0
318,Ust’-Uda,Ryssland,5169.0
319,Corston,United Kingdom,494.0
320,San Eduardo,Colombia,524.0
321,Loriga,Portugal,1053.0
322,Quebracho,Uruguay,2871.0
323,Braniștea,Rumänien,2014.0
324,Vishnyeva,Vitryssland,7000.0
325,Windsor,Kanada,3864.0
326,Voždovac,Serbien,0.0
327,Höhenberg,Tyskland,12133.0
328,Santa María Zolotepec,Mexiko,10656.0
329,Tiaret,Algeriet,178915.0
330,Gmbet’,Armenia,1267.0
331,Punta de Piedra,Venezuela,0.0
332,Krinichnoye,Ukraina,898.0
333,Campbellsville,USA,11237.0
334,Sesta Godano,Italien,728.0
335,Kara-Kulja,Kyrgyzstan,0.0
336,Paluzza,Italien,1241.0
337,Austins Ferry,Australien,2056.0
338,Farnsfield,United Kingdom,2566.0
339,North Brooksville,USA,3544.0
340,La Roche-Posay,Frankrike,1553.0
341,Luzmela,Spanien,1982.0
342,Kabadüz,Turkiet,3642.0
343,Montigné-le-Brillant,Frankrike,1266.0
344,Montecarlo,Italien,407.0
345,Budeşti,Rumänien,5362.0
346,Maigana,Nigeria,0.0
347,Fergana,Uzbekistan,164322.0
348,Alfonso G. Calderón (Poblado Siete),Mexiko,3456.0
349,Laiyang,Kina,169594.0
350,Candiis,Filippinerna,2323.0
351,Yarega,Ryssland,8092.0
352,General Villegas,Argentina,16270.0
353,Fufeng,Kina,0.0
354,Poynton,United Kingdom,14351.0
355,Francisco Morato,Brasilien,171790.0
356,China Grove,USA,1291.0
357,South Cerney,United Kingdom,2632.0
358,Pasłęk,Polen,12267.0
359,Al Maymūnah,Irak,0.0
360,Chalaco,Peru,0.0
361,Zavetnoye,Ryssland,3932.0
362,Guadalupe Septién,Mexiko,2635.0
363,Ponte Felcino,Italien,5000.0
364,Balinţ,Rumänien,1736.0
365,Tricesimo,Italien,5590.0
366,Căpâlna,Rumänien,1975.0
367,Settimo,Italien,2611.0
368,Schwabenheim,Tyskland,2555.0
369,Covelo,Spanien,3710.0
370,Xcanatún,Mexiko,1495.0
371,Cumbernauld,United Kingdom,51610.0
372,Villaverde-Mogina,Spanien,104.0
373,Bekhteyevka,Ryssland,3332.0
374,Djamaa,Algeriet,52882.0
375,Bishopston,United Kingdom,3647.0
376,Tronville-en-Barrois,Frankrike,1712.0
377,Rahachow,Vitryssland,34700.0
378,Chirac,Frankrike,1095.0
379,Kálymnos,Grekland,12324.0
380,Grădiştea,Rumänien,5232.0
381,Dyshne-Vedeno,Ryssland,3330.0
382,Bima,Indonesien,66970.0
383,Santa Cruz de Juárez,Mexiko,1016.0
384,Saint-Bonnet-près-Riom,Frankrike,1673.0
385,Accomac,USA,496.0
386,White City,Kanada,1813.0
387,Mazières-de-Touraine,Frankrike,1063.0
388,Dollbergen,Tyskland,2331.0
389,Juillac,Frankrike,1130.0
390,Ceriano Laghetto,Italien,5149.0
391,Freising,Tyskland,42570.0
392,Altenbüren,Tyskland,1321.0
393,Odiham,United Kingdom,3165.0
394,Tifni,Morocko,0.0
395,Malavalli,Indien,38129.0
396,Longobucco,Italien,2501.0
397,Scheinfeld,Tyskland,4770.0
398,Khākirān,Afganistan,0.0
399,Shuiche,Kina,3550.0
400,Indian Hills,USA,1280.0
401,Shap,United Kingdom,1264.0
402,Howli,Indien,17354.0
403,Neubrück,Tyskland,1367.0
404,Tierra Verde,USA,3721.0
405,Suhl,Tyskland,43509.0
406,Khudoyelanskoye,Ryssland,2000.0
407,Xifeng,Kina,61087.0
408,Lorvão,Portugal,4158.0
409,Szczerców,Polen,3300.0
410,La Tour,Frankrike,1215.0
411,Bataiporã,Brasilien,7346.0
412,Verfeil,Frankrike,2819.0
413,San Francisco Oxtutla,Mexiko,1393.0
414,Cabalaoangan,Filippinerna,2674.0
415,Pleudihen-sur-Rance,Frankrike,2618.0
416,Bösenbrunn,Tyskland,1460.0
417,Königsbach-Stein,Tyskland,9906.0
418,Arıköy,Turkiet,2000.0
419,Los Limones,Mexiko,1429.0
420,Pak Phayun,Thailand,0.0
421,Flint City,USA,1033.0
422,Tornimparte,Italien,3042.0
423,Port-à-Piment,Haiti,3819.0
424,Niscemi,Italien,26893.0
425,Chatburn,United Kingdom,1102.0
426,Sapele,Nigeria,161686.0
427,Montelarco,Italien,1303.0
428,Lustra,Italien,268.0
429,Hidden Spring,USA,2280.0
430,Cureggio,Italien,1630.0
431,Novomykolayivka,Ukraina,5568.0
432,Barro,Spanien,0.0
433,Geslau,Tyskland,1424.0
434,‘Alāqahdārī Gēlān,Afganistan,0.0
435,Boljevci,Serbien,3990.0
436,Mean Chey,Kambodja,0.0
437,Kalakān,Afganistan,0.0
438,Janov nad Nisou,Czechia,1186.0
439,Los Pozos,Panama,508.0
440,Bulancak,Turkiet,43635.0
441,Muntenii de Sus,Rumänien,1425.0
442,Viera West,USA,6641.0
443,Tafraout,Morocko,4924.0
444,Yanliang,Kina,60891.0
445,Franconia,USA,18245.0
446,Wellingara Ba,Gambia,1476.0
447,San José,Mexiko,2013.0
448,Clearbrook Park,USA,2667.0
449,Tiahuanaco,Bolivia,3037.0
450,Sinarcas,Spanien,1238.0
451,Somma Lombardo,Italien,14851.0
452,Cordovín,Spanien,217.0
453,Quatá,Brasilien,10370.0
454,Nzega,Tanzania,26584.0
455,Hüllhorst,Tyskland,13776.0
456,Waverly,USA,23925.0
457,Bean Station,USA,3104.0
458,Quistinic,Frankrike,1337.0
459,Pabillonis,Italien,2806.0
460,Mingora,Pakistan,279914.0
461,Dahan-e Jarf,Afganistan,0.0
462,Tallmadge,USA,17512.0
463,Mlenăuți,Rumänien,1399.0
464,Gazoldo degli Ippoliti,Italien,2738.0
465,Emiliano Zapata,Mexiko,3353.0
466,İnönü,Turkiet,5552.0
467,Citrus Hills,USA,7470.0
468,Séez,Frankrike,2139.0
469,Zambrone,Italien,558.0
470,Avondale,USA,39721.0
471,Oberkochen,Tyskland,8373.0
472,Nishitōkyō,Japan,0.0
473,Sant'Angelo Romano,Italien,1931.0
474,Kot Samaba,Pakistan,22953.0
475,Baggabag B,Filippinerna,24967.0
476,Kyathampalle,Indien,42275.0
477,Spangen,Nederländerna,10285.0
478,Mooirivier,South Africa,10132.0
479,Barsovo,Ryssland,5710.0
480,Ilomantsi,Finland,6408.0
481,San Cassiano,Italien,2053.0
482,Isahaya,Japan,97371.0
483,Panyabungan,Indonesien,0.0
484,Orud’yevo,Ryssland,1334.0
485,Reforma y Planada,Mexiko,1156.0
486,Novi Grad,Bosnien och Hercegovina,8920.0
487,Adelsried,Tyskland,2240.0
488,Mesón de los Sauces,Mexiko,2625.0
489,Campo Limpo Paulista,Brasilien,0.0
490,Tordinci,Kroatien,840.0
491,Villano Beach,USA,2678.0
492,Flatbush,USA,93361.0
493,Founex,Schweiz,2254.0
494,Echínos,Grekland,2162.0
495,Al Jawādīyah,Syria,0.0
496,Chumi,Kina,3500.0
497,Attinghausen,Schweiz,1515.0
498,Tallaght,Irland,64282.0
499,Huadian,Kina,139047.0
500,Muaralimun,Indonesien,0.0
501,Pfaffenhofen an der Roth,Tyskland,7158.0
502,Eaunes,Frankrike,3831.0
503,Repnoye,Ryssland,3131.0
504,Carbonia,Italien,21664.0
505,Blackrock,Irland,3000.0
506,Rasht,Iran,594590.0
507,Atajate,Spanien,170.0
508,Chornyanka,Ukraina,3363.0
509,Reith bei Kitzbühel,Austria,1662.0
510,Debeljača,Serbien,6413.0
511,Palazzolo sull'Oglio,Italien,17973.0
512,Warrington,United Kingdom,0.0
513,Northampton,USA,9860.0
514,Northbrook,USA,10668.0
515,Uci,Mexiko,1224.0
516,Sant'Apollinare,Italien,1397.0
517,Gokwe,Zimbabwe,18942.0
518,Sadlinki,Polen,1987.0
519,Clairvaux-les-Lacs,Frankrike,1520.0
520,Eichfeld,Austria,347.0
521,Saint-Julien-les-Rosiers,Frankrike,2681.0
522,Quipot,Filippinerna,3616.0
523,Novy Svet,Ukraina,1248.0
524,Orosi,USA,8770.0
525,Colonia Constitución,Mexiko,1185.0
526,Hurstbourne Acres,USA,1874.0
527,South Whitley,USA,1743.0
528,Kindersley,Kanada,4249.0
529,Dascălu,Rumänien,2594.0
530,Kodoli,Indien,17537.0
531,La Mesa (La Mesa de Cedano),Mexiko,1284.0
532,Quintanilla del Olmo,Spanien,47.0
533,Alagoa,Portugal,0.0
534,Flor de Cacao,Mexiko,1655.0
535,el Masroig,Spanien,0.0
536,Gubaan,Filippinerna,4881.0
537,Kotkot,Filippinerna,4067.0
538,Rimus,Filippinerna,6670.0
539,Citrus Park,USA,4028.0
540,Nansan,Kina,0.0
541,Kīsh,Iran,20922.0
542,Cisaga,Indonesien,0.0
543,Attichy,Frankrike,1954.0
544,Rickenbach,Tyskland,3875.0
545,Avellaneda,Spanien,2305.0
546,Phúc Yên,Vietnam,0.0
547,Castions di Strada,Italien,3647.0
548,Pittsford,USA,1350.0
549,North Hills,USA,5444.0
550,Tân Hòa,Vietnam,0.0
551,Papaloctipan,Mexiko,1745.0
552,Bayport,USA,3714.0
553,Wagar,Sudan,11950.0
554,Goñi,Spanien,202.0
555,Fryanovo,Ryssland,11088.0
556,Dollon,Frankrike,1292.0
557,Gerzen,Tyskland,1864.0
558,Dunningen,Tyskland,6032.0
559,Alconada de Maderuelo,Spanien,57.0
560,Włodowice,Polen,1248.0
561,Kosaya Gora,Ryssland,17836.0
562,Ganassi,Filippinerna,2412.0
563,Nkayi,Republic of the Congo,0.0
564,Guadalajara de Buga,Colombia,118004.0
565,Anra,Peru,0.0
566,Venado,Mexiko,5743.0
567,Pamplonita,Colombia,941.0
568,Driemanspolder,Nederländerna,6250.0
569,Woodmont,USA,1505.0
570,Tōno,Japan,26781.0
571,Filipów,Polen,2234.0
572,Thompson Falls,USA,1332.0
573,Filiátes,Grekland,2129.0
574,Baños de Montemayor,Spanien,643.0
575,Servas,Frankrike,1077.0
576,Kātoya,Indien,78408.0
577,Torrijos,Spanien,13117.0
578,Marin-Epagnier,Schweiz,4087.0
579,Landis,USA,3116.0
580,Villes-sur-Auzon,Frankrike,1100.0
581,Wörschach,Austria,717.0
582,Arroyomolinos de León,Spanien,0.0
583,Lumbreras,Spanien,131.0
584,Pasingkan,Indonesien,0.0
585,Röhrenbach,Austria,152.0
586,Ablitas,Spanien,0.0
587,Socha Viejo,Colombia,3353.0
588,Adelebsen,Tyskland,6541.0
589,Fords,USA,15187.0
590,Zalalövő,Ungern,3195.0
591,Trecase,Italien,8446.0
592,Malaya Purga,Ryssland,6803.0
593,Oxtotipac,Mexiko,3081.0
594,Čađavica,Kroatien,0.0
595,Graniteville,USA,15272.0
596,Fenoarivo Atsinanana,Madagaskar,21036.0
597,Crispiano,Italien,12429.0
598,Gornozavodsk,Ryssland,5579.0
599,Vânători-Neamţ,Rumänien,8707.0
600,San Juan Totolcintla,Mexiko,2326.0
601,Kleinheubach,Tyskland,3436.0
602,Buznea,Rumänien,1214.0
603,Statenkwartier,Nederländerna,9300.0
604,Honey Grove,USA,1656.0
605,Czerwionka-Leszczyny,Polen,28740.0
606,Apantla,Mexiko,1027.0
607,Biassono,Italien,10897.0
608,Santa Cruz de la Soledad,Mexiko,1723.0
609,Zelów,Polen,8003.0
610,Lubei,Kina,0.0
611,Lagawe,Filippinerna,6819.0
612,Knightdale,USA,14256.0
613,Ea Kar,Vietnam,0.0
614,Nishon Tumani,Uzbekistan,10558.0
615,Ortuella,Spanien,8556.0
616,Romanovka,Ryssland,7746.0
617,Baranów,Polen,1500.0
618,Āwash,Etiopien,11415.0
619,Sütlüce,Turkiet,0.0
620,Visitacion Valley,USA,22534.0
621,General Lázaro Cárdenas (El Colorado),Mexiko,4315.0
622,Albshausen,Tyskland,1992.0
623,Zhabei,Kina,840000.0
624,San Miguel,Filippinerna,2375.0
625,Touza,Tunisien,6085.0
626,Hervey Bay,Australien,52230.0
627,Bannewitz,Tyskland,10851.0
628,Königsbrunn,Tyskland,27494.0
629,San Miguel,Peru,8400.0
630,Poroshkovo,Ukraina,3645.0
631,Ebergötzen,Tyskland,1886.0
632,Mahē,Indien,38183.0
633,Bogdaniec,Polen,1100.0
634,Chasseneuil-du-Poitou,Frankrike,4306.0
635,Honoria,Peru,0.0
636,Labastidette,Frankrike,1501.0
637,Horgeşti,Rumänien,4665.0
638,Steeple Bumpstead,United Kingdom,1432.0
639,Kieta,Papua New Guinea,3611.0
640,Timbiras,Brasilien,17875.0
641,Kettle Falls,USA,1597.0
642,Bubikon,Schweiz,2052.0
643,Kamimaruko,Japan,25403.0
644,Antigua Ocotepeque,Honduras,1862.0
645,Murton,United Kingdom,7413.0
646,Punta del Este,Uruguay,7234.0
647,Tangjin,Sydkorea,32778.0
648,Polpenazze del Garda,Italien,1449.0
649,Janīn,Palestinian Territory,34730.0
650,East Migpulao,Filippinerna,2689.0
651,Elysburg,USA,2194.0
652,San Juan y San Pedro Tezompa,Mexiko,11819.0
653,Couches,Frankrike,1420.0
654,Zalamea la Real,Spanien,3506.0
655,San Antonio de Palé,Equatorial Guinea,4433.0
656,Dongko,Indonesien,0.0
657,Muzayri‘,United Arab Emirates,10000.0
658,Mamporal,Venezuela,0.0
659,Emiliano Zapata,Mexiko,1350.0
660,Saint-Étienne-de-Saint-Geoirs,Frankrike,2437.0
661,Narang Mandi,Pakistan,34778.0
662,Armero-Guyabal,Colombia,11720.0
663,Chudleigh Knighton,United Kingdom,1125.0
664,Rumson,USA,6926.0
665,Unionville,USA,1815.0
666,Chinavita,Colombia,1113.0
667,Río Viejo,Colombia,6963.0
668,Sicaya,Peru,6842.0
669,Drean,Algeriet,55147.0
670,Quarto Inferiore,Italien,1685.0
671,Crescent,USA,1527.0
672,Otsego,USA,15551.0
673,Eden Valley,USA,1036.0
674,Blanquillo,Uruguay,1170.0
675,Ciugud,Rumänien,2613.0
676,Sakai-nakajima,Japan,31268.0
677,Waterboro,USA,7532.0
678,Milagro,Ecuador,133508.0
679,Ereencav,Mongoliet,23.0
680,Lakshettipet,Indien,11162.0
681,Góra Świętej Małgorzaty,Polen,357.0
682,Tadcaster,United Kingdom,6480.0
683,Mühlethurnen,Schweiz,1265.0
684,Omanjska,Bosnien och Hercegovina,4.0
685,Tak Fa,Thailand,0.0
686,Pont-à-Celles,Belgien,15909.0
687,Magdalena Teitipac,Mexiko,4297.0
688,Gadani,Pakistan,13427.0
689,Embrun,Frankrike,7069.0
690,Cologne,USA,1605.0
691,Osieczna,Polen,2132.0
692,Otyniya,Ukraina,5205.0
693,Aioun,Mauritania,12635.0
694,General Treviño,Mexiko,1019.0
695,Gstadt am Chiemsee,Tyskland,1355.0
696,Santa Teresa,Mexiko,1118.0
697,Debila,Algeriet,36834.0
698,Cesio,Italien,153.0
699,Kaiama,Nigeria,0.0
700,Quinicuena,Mexiko,1053.0
701,Geçitli,Turkiet,0.0
702,Yutanduchi de Guerrero,Mexiko,1148.0
703,Madhyapur Thimi,Nepal,83036.0
704,Oued Fodda,Algeriet,44523.0
705,Son en Breugel,Nederländerna,0.0
706,Vysokaye,Vitryssland,4496.0
707,Canoa,Dominican Republic,2371.0
708,Leintz-Gatzaga,Spanien,0.0
709,Étreux,Frankrike,1645.0
710,Viereth-Trunstadt,Tyskland,3684.0
711,Coahuayana de Hidalgo,Mexiko,7307.0
712,Prudovoye,Ukraina,1009.0
713,Cotonou,Benin,780000.0
714,Waterville,USA,16261.0
715,Centrale,Italien,1231.0
716,Tegucigalpa,Honduras,850848.0
717,Fabianki,Polen,660.0
718,Al Ḩayy,Irak,78272.0
719,Quilcas,Peru,0.0
720,Brak,Libyen,39444.0
721,Gimry,Ryssland,3599.0
722,Ozersk,Ryssland,81023.0
